,pred
0,0.35274214
1,0.57599
2,0.4142366
3,0.4157529
4,0.22395802
5,0.47368485
6,0.28548566
7,0.50344896
8,0.47634333
9,0.2524832
10,0.33106518
11,0.5069826
12,0.28620514
13,0.29618782
14,0.43985185
15,0.69534755
16,0.40889004
17,0.47364965
18,0.49269354
19,0.47546294
20,0.38952878
21,0.5249528
22,0.54541266
23,0.5178688
24,0.52996165
25,0.50302595
26,0.3893807
27,0.42423326
28,0.4748562
29,0.4976596
30,0.65126
31,0.45360333
32,0.3542186
33,0.54786944
34,0.44923475
35,0.58842796
36,0.5607874
37,0.42630273
38,0.39805615
39,0.4071938
40,0.49817765
41,0.5611454
42,0.3344264
43,0.51303047
44,0.33750418
45,0.5380585
46,0.54419243
47,0.5017575
48,0.41436127
49,0.5395842
50,0.31439248
51,0.3353216
52,0.5267813
53,0.5184527
54,0.49943072
55,0.48522636
56,0.46139318
57,0.63533205
58,0.6647097
59,0.6297356
60,0.39549303
61,0.42716777
62,0.1722335
63,0.5956168
64,0.5426942
65,0.6343098
66,0.535257
67,0.2825706
68,0.14681055
69,0.37906364
70,0.49786884
71,0.63748413
72,0.5313634
73,0.5597203
74,0.5405504
75,0.4603921
76,0.52712905
77,0.46499932
78,0.5583164
79,0.4297561
80,0.7294231
81,0.51944333
82,0.5352407
83,0.45554814
84,0.343128
85,0.19873531
86,0.37872967
87,0.53545886
88,0.5594856
89,0.40434256
90,0.69201565
91,0.4913539
92,0.49830443
93,0.4633253
94,0.6017426
95,0.49598035
96,0.6907992
97,0.6967256
98,0.47990233
99,0.50849754
100,0.24991268
101,0.46296132
102,0.40326047
103,0.3048871
104,0.69372714
105,0.41230556
106,0.52070844
107,0.7089256
108,0.534451
109,0.43342313
110,0.5010478
111,0.43851823
112,0.48120576
113,0.49467036
114,0.53678125
115,0.5345236
116,0.33998358
117,0.3796063
118,0.47871116
119,0.5014954
120,0.4480288
121,0.52560633
122,0.69250005
123,0.5553296
124,0.61146176
125,0.46763876
126,0.4803089
127,0.5773304
128,0.49817765
129,0.73028815
130,0.42616248
131,0.5167928
132,0.47456574
133,0.56788146
134,0.53657377
135,0.45596942
136,0.4639823
137,0.23926729
138,0.5057866
139,0.5504278
140,0.29587448
141,0.41029108
142,0.4871244
143,0.42094985
144,0.5348965
145,0.52435297
146,0.42261878
147,0.53513485
148,0.57675797
149,0.49786398
150,0.6399819
151,0.6495005
152,0.5505887
153,0.5552585
154,0.5458654
155,0.34561524
156,0.80293286
157,0.39419866
158,0.44484347
159,0.4388745
160,0.5557985
161,0.3489415
162,0.6139785
163,0.6514327
164,0.47524875
165,0.36022276
166,0.43083283
167,0.4631252
168,0.3812539
169,0.63809115
170,0.43530998
171,0.37506616
172,0.6028614
173,0.4712018
174,0.33231345
175,0.57293516
176,0.3561865
177,0.46997714
178,0.59829587
179,0.5686106
180,0.50418156
181,0.3837374
182,0.4669452
183,0.31672868
184,0.5526893
185,0.557088
186,0.34566018
187,0.4459248
188,0.6253944
189,0.73009694
190,0.64354277
191,0.6263982
192,0.53320986
193,0.48326257
194,0.53616065
195,0.5123867
196,0.6392596
197,0.5575121
198,0.58072096
199,0.68986946
200,0.51094675
201,0.7726132
202,0.6109717
203,0.52021444
204,0.407399
205,0.9511493
206,0.53222317
207,0.39436275
208,0.37124276
209,0.33160987
210,0.617435
211,0.37265986
212,0.5707137
213,0.42255437
214,0.9239931
215,0.6390115
216,0.37386551
217,0.5037391
218,0.5896933
219,0.5190868
220,0.4603105
221,0.34933114
222,0.48758584
223,0.44535354
224,0.47886372
225,0.6606911
226,0.47533664
227,0.53621405
228,0.16672258
229,0.51061594
230,0.5715093
231,0.797711
232,0.6142245
233,0.4009495
234,0.5050665
235,0.531498
236,0.555701
237,0.34354913
238,0.45357135
239,0.38615063
240,0.67999333
241,0.5175154
242,0.47350377
243,0.43875602
244,0.84317786
245,0.43147066
246,0.4683681
247,0.6971891
248,0.40444177
249,0.3696416
250,0.48219314
251,0.6021154
252,0.54385656
253,0.45476857
254,0.47606683
255,0.3893807
256,0.4418854
257,0.57491744
