,country,count_total,cust_id,churn
0,AB,135,7,No
1,AB,83,6,Yes
2,CD,29,12,No
3,CD,147,19,No
4,AB,179,5,No
5,CD,106,15,No
6,CD,3,11,Yes
7,CD,79,7,No
8,AB,64,17,Yes
9,CD,5,9,No
10,CD,38,14,Yes
11,AB,24,8,No
12,AB,160,13,No
13,CD,171,14,No
14,AB,47,16,Yes
15,CD,56,12,No
16,CD,99,1,Yes
17,AB,100,9,Yes
18,AB,30,11,No
19,AB,66,17,Yes
20,CD,91,15,No
21,AB,10,15,No
22,CD,92,10,Yes
23,AB,127,7,No
24,AB,62,9,No
25,AB,77,2,Yes
26,AB,73,19,No
27,CD,112,17,Yes
28,AB,137,9,No
29,CD,52,10,Yes
30,AB,128,1,Yes
31,AB,151,1,Yes
32,CD,173,5,No
33,AB,151,11,Yes
34,CD,168,17,Yes
35,CD,91,7,No
36,CD,55,15,Yes
37,AB,85,16,Yes
38,CD,68,2,No
39,CD,28,13,No
40,CD,14,17,No
41,CD,35,7,No
42,AB,40,17,No
43,AB,92,10,No
44,CD,138,8,No
45,AB,45,10,Yes
46,CD,7,2,No
47,AB,65,14,Yes
48,CD,169,17,No
49,AB,123,13,No
50,AB,176,8,Yes
51,AB,6,3,No
52,AB,101,4,No
53,AB,101,5,Yes
54,AB,25,1,No
55,AB,25,17,Yes
56,AB,17,8,No
57,CD,133,1,No
58,AB,162,13,Yes
59,AB,23,6,Yes
60,CD,121,4,No
61,AB,158,12,No
62,AB,173,4,No
63,AB,80,10,Yes
64,CD,155,11,Yes
65,CD,44,12,Yes
66,AB,125,6,Yes
67,CD,170,13,Yes
68,AB,5,9,No
69,CD,146,13,Yes
70,CD,120,15,Yes
71,AB,70,6,Yes
72,CD,170,9,Yes
73,CD,146,16,No
74,AB,124,12,No
75,AB,68,7,No
76,AB,121,7,Yes
77,CD,74,1,No
78,AB,145,4,No
79,CD,134,15,Yes
80,AB,118,15,Yes
81,AB,92,9,Yes
82,AB,48,6,No
83,CD,42,17,No
84,CD,28,16,No
85,AB,174,13,No
86,CD,172,16,No
87,AB,29,1,No
88,CD,10,13,Yes
89,CD,86,8,Yes
90,AB,117,13,No
91,CD,29,6,No
92,CD,75,2,Yes
93,AB,83,2,No
94,CD,103,5,No
95,CD,101,17,No
96,AB,162,7,Yes
97,AB,58,2,No
98,CD,150,2,Yes
99,AB,90,5,No
100,AB,160,12,No
101,AB,10,6,No
102,CD,72,17,Yes
103,CD,149,13,No
104,AB,84,4,No
105,CD,147,15,No
106,CD,132,16,No
107,AB,117,2,Yes
108,AB,88,2,Yes
109,CD,86,14,Yes
110,CD,166,3,No
111,CD,106,17,No
112,CD,130,6,Yes
113,AB,92,4,No
114,AB,109,6,Yes
115,AB,77,16,No
116,AB,10,1,No
117,AB,69,3,No
118,AB,43,5,Yes
119,AB,36,1,No
120,AB,133,14,No
121,AB,111,6,No
122,CD,118,18,Yes
123,CD,138,4,Yes
124,AB,90,10,Yes
125,AB,100,14,No
126,CD,54,14,No
127,CD,19,13,Yes
128,CD,14,17,No
129,AB,84,12,Yes
130,AB,166,13,Yes
131,AB,143,15,Yes
132,CD,82,5,Yes
133,CD,51,12,Yes
134,AB,12,17,Yes
135,AB,24,3,Yes
136,AB,80,19,No
137,CD,158,8,No
138,CD,135,7,Yes
139,CD,114,13,No
140,AB,46,19,Yes
141,AB,162,1,Yes
142,AB,125,16,No
143,AB,109,13,No
144,CD,133,12,Yes
145,CD,65,18,No
146,CD,166,15,Yes
147,CD,179,19,No
148,CD,41,9,No
149,AB,75,12,No
150,AB,159,10,Yes
151,AB,108,4,No
152,AB,136,9,No
153,AB,42,4,No
154,CD,59,4,No
155,CD,14,14,No
156,CD,20,17,No
157,CD,83,11,No
158,CD,141,11,Yes
159,CD,75,8,No
160,CD,97,5,No
161,CD,116,3,No
162,CD,104,3,No
163,AB,84,7,Yes
164,AB,56,16,No
165,CD,31,9,Yes
166,CD,120,10,Yes
167,AB,149,2,Yes
168,CD,15,3,Yes
169,AB,163,9,No
170,AB,80,14,No
171,AB,174,10,Yes
172,CD,94,17,Yes
173,CD,126,13,No
174,CD,46,1,No
175,CD,7,3,Yes
176,CD,25,5,No
177,AB,61,5,No
178,AB,104,13,Yes
179,AB,32,7,No
180,AB,40,13,Yes
181,AB,156,7,No
182,AB,85,11,Yes
183,CD,158,15,No
